,importance,split
atr20,11967.623765945435,72
ret120,1256.54460811615,35
ret20,644.3238048553467,14
ret20_60,320.6383991241455,9
ret60,782.6063985824585,21
std20,1091.1357917785645,22
std60,8197.93946647644,59
volatility_regime,843.2593078613281,26
asset_turnover,999.7344884872437,26
current_asset_ratio,354.3254051208496,13
current_ratio,85.92609977722168,2
ey,2455.2043800354004,36
financial_leverage,459.0284023284912,17
oper_profit_growth,635.3265943527222,14
opm,486.9182996749878,13
pb,850.4076995849609,27
pe,497.75609016418457,12
pe_ratio,250.9113006591797,5
profit_growth,536.6145992279053,14
profit_quality,552.3316040039062,12
ps,1254.6432886123657,31
revenue_growth,2345.6204023361206,28
roa,712.0578079223633,19
roe,767.3230953216553,20
roe_growth,819.5122966766357,23
